Start Station Name,End Station Name,Count,Total Duration
Hochelaga / Dézéry,St-Grégoire / Christophe-Colomb,1,1928726
Hochelaga / Dézéry,9e avenue / Masson,7,5926126
Hochelaga / Dézéry,Garnier / du Mont-Royal,1,15996898
Marché Maisonneuve (Ontario / Morgan),9e avenue / Masson,26,34657938
Jeanne-Mance / René-Lévesque,St-Jacques / McGill,10,8961260
Jeanne-Mance / René-Lévesque,de Maisonneuve / de Bleury,9,8138902
Jeanne-Mance / René-Lévesque,de Maisonneuve / Aylmer (ouest),4,6511935
du Mont-Royal / St-André,Laurier / de Brébeuf,25,11645052
du Mont-Royal / St-André,McTavish / Sherbrooke,9,8887169
du Mont-Royal / St-André,des Pins / St-Laurent,20,18373116
du Mont-Royal / St-André,de Maisonneuve / de Bleury,4,3250203
du Mont-Royal / St-André,René-Lévesque / Papineau,3,2342692
Hochelaga / Dézéry,de Maisonneuve / Fullum,3,2891594
Hochelaga / Dézéry,René-Lévesque / Papineau,14,14316652
Marché Maisonneuve (Ontario / Morgan),de Maisonneuve / de Bleury,5,9539100
Marché Maisonneuve (Ontario / Morgan),Molson / William-Tremblay,1,1089589
Marché Maisonneuve (Ontario / Morgan),de Maisonneuve / Aylmer (ouest),1,2054163
Marché Maisonneuve (Ontario / Morgan),Cégep du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),5,6475245
Marché Maisonneuve (Ontario / Morgan),René-Lévesque / Papineau,13,18338204
Marché Maisonneuve (Ontario / Morgan),Ontario / Ville-Marie,23,6595625
Parc Beaubien Outremont (Stuart / St-Viateur),Bernard / Jeanne-Mance,13,14280043
Notre-Dame / St-Gabriel,Square-Victoria (Viger / du Square-Victoria),5,1904369
Notre-Dame / St-Gabriel,Ste-Catherine / Union,4,5206527
Notre-Dame / St-Gabriel,Ste-Catherine / Towers,28,44387581
Notre-Dame / St-Gabriel,St-Jacques / McGill,19,18762158
Parc Beaubien Outremont (Stuart / St-Viateur),de Maisonneuve / Aylmer (ouest),17,21036548
Parc Beaubien Outremont (Stuart / St-Viateur),Parc Beaubien Outremont (Stuart / St-Viateur),10,718065
Métro Parc  (Hutchison / Ogilvy),Bernard / Jeanne-Mance,29,21531768
Métro Parc  (Hutchison / Ogilvy),Pierre-de-Coubertin / Aird,3,7070593
Métro Parc  (Hutchison / Ogilvy),Marché Jean-Talon (Casgrain / Shamrock),22,15208445
Métro Parc  (Hutchison / Ogilvy),Chabanel / du Parc,33,27046897
Métro Verdun (Willibrord / de Verdun),Métro Lionel-Groulx (St-Jacques / Atwater),1,921492
Métro Verdun (Willibrord / de Verdun),Regina / de Verdun,5,1474017
Métro Parc  (Hutchison / Ogilvy),Parc Molson (d'Iberville / Beaubien),1,874984
Métro Parc  (Hutchison / Ogilvy),du Mont-Royal / Clark,12,17337058
Métro Parc  (Hutchison / Ogilvy),Collège de Rosemont (Beaubien / 15e avenue),6,10233368
Métro Parc  (Hutchison / Ogilvy),Clark / de l'Arcade,8,5780260
Métro Parc  (Hutchison / Ogilvy),Émery / St-Denis,1,1971335
Métro Parc  (Hutchison / Ogilvy),Métro Radisson (Sherbrooke / des Groseilliers),11,34844376
Métro Parc  (Hutchison / Ogilvy),des Érables / Laurier,13,19582751
Métro Verdun (Willibrord / de Verdun),Smith / Peel,3,4396144
Métro Parc  (Hutchison / Ogilvy),Parc de Turin (de Lanaudière / Jean-Talon),1,679531
Métro Parc  (Hutchison / Ogilvy),Métro Laurier (Berri / St-Joseph),14,14213588
Métro Parc  (Hutchison / Ogilvy),Gary-Carter / St-Laurent,13,5888575
Métro Parc  (Hutchison / Ogilvy),Fabrik8 (Waverly / Jean-Talon),6,3398933
Métro Parc  (Hutchison / Ogilvy),de Gaspé / Marmier,1,614780
Métro Parc  (Hutchison / Ogilvy),BAnQ (Berri),7,13537069
Métro Parc  (Hutchison / Ogilvy),Laurier / St-Denis,2,2486271
Métro Parc  (Hutchison / Ogilvy),Christophe-Colomb / Beaubien,19,16264957
Métro Verdun (Willibrord / de Verdun),Melrose / de Verdun,92,22515841
Métro Verdun (Willibrord / de Verdun),Beurling / Godin,2,1861086
Métro Parc  (Hutchison / Ogilvy),Gare d'autocars de Montréal (Berri / Ontario),2,3209012
Métro Verdun (Willibrord / de Verdun),Duke / Nazareth,8,13291014
Métro Parc  (Hutchison / Ogilvy),Métro Parc  (Hutchison / Ogilvy),18,20877537
Métro Verdun (Willibrord / de Verdun),LaSalle / Godin,33,18385200
Fabrik8 (Waverly / Jean-Talon),Marché Jean-Talon (Casgrain / Shamrock),25,6484156
Fabrik8 (Waverly / Jean-Talon),Parc Molson (d'Iberville / Beaubien),8,9211875
Fabrik8 (Waverly / Jean-Talon),St-Urbain / Laurier,9,9765924
du Parc-Lafontaine / Rachel,Square Viger (Berri / Viger),25,18024305
du Parc-Lafontaine / Rachel,Métro Joliette  (Hochelaga / Joliette),6,7203323
du Parc-Lafontaine / Rachel,Roy / Saint-Laurent,12,5875083
du Parc-Lafontaine / Rachel,du Mont-Royal / Clark,7,4706599
Fabrik8 (Waverly / Jean-Talon),Clark / de l'Arcade,16,8392554
Fabrik8 (Waverly / Jean-Talon),Marquette / des Carrières,24,27207712
du Parc-Lafontaine / Rachel,Émile-Duployé / Rachel,34,9497644
du Parc-Lafontaine / Rachel,Marquette / des Carrières,5,4926896
du Parc-Lafontaine / Rachel,Marché St-Jacques (Atateken),45,13460689
du Parc-Lafontaine / Rachel,Métro Mont-Royal (Utilités publiques / Rivard),34,11521876
